Title,Content_Type,Author,Date_Created,Last_Updated,Access_Frequency
Employee Handbook,Policy,HR Department,2024-01-10,2024-11-01,85
Onboarding Guide,Guide,Training Team,2023-08-15,2024-10-15,150
Customer Service FAQ,FAQ,Customer Support,2022-05-20,2024-09-30,200
Product Knowledge Base,Knowledge Base,Product Team,2024-03-12,2024-10-25,120
IT Security Policies,Policy,IT Department,2021-09-05,2024-06-01,75
Sales Training Manual,Training Manual,Sales Team,2023-02-14,2024-04-10,110
Marketing Strategy Overview,Strategy,Marketing Department,2023-07-30,2024-05-20,95
Incident Response Plan,Plan,IT Security,2022-12-01,2024-07-15,50
Project Management Guidelines,Guideline,PMO Office,2023-03-10,2024-08-25,70
Code of Conduct,Policy,Compliance Team,2022-06-01,2024-03-01,130
Remote Work Policy,Policy,HR Department,2021-04-05,2024-09-05,90
Performance Review Template,Template,HR Department,2023-05-15,2024-11-01,65
Technical Troubleshooting Guide,Guide,IT Support,2024-01-20,2024-10-01,140
Health and Safety Procedures,Procedure,Safety Team,2022-08-10,2024-02-10,80
Diversity and Inclusion Initiatives,Initiative,D&I Committee,2023-09-15,2024-08-15,60
Expense Reimbursement Policy,Policy,Finance Department,2023-10-05,2024-07-01,45
Data Privacy Best Practices,Best Practice,Legal Team,2023-12-20,2024-05-25,55
Meeting Agenda Template,Template,Admin Team,2022-11-25,2024-09-10,35
Supplier Management Guide,Guide,Procurement Team,2024-02-18,2024-10-20,40
GDPR Compliance Overview,Compliance,Legal Team,2023-06-05,2024-04-15,85
Crisis Communication Plan,Plan,PR Department,2023-01-30,2024-07-30,75
Business Continuity Strategy,Strategy,Operations Team,2022-03-20,2024-06-10,50
Leadership Training Curriculum,Training,Leadership Academy,2023-04-25,2024-09-25,95
Annual Report Template,Template,Finance Team,2022-10-15,2024-02-28,40
Work-Life Balance Programs,Program,HR Department,2021-12-10,2024-01-10,70
Cybersecurity Awareness Training,Training,IT Security,2024-03-10,2024-10-05,150
New Product Launch Checklist,Checklist,Marketing Team,2023-08-01,2024-08-20,55
Employee Engagement Survey,Survey,HR Department,2024-04-10,2024-10-30,85
Project Risk Management Plan,Plan,Risk Management Team,2023-05-10,2024-09-12,65
Knowledge Transfer Checklist,Checklist,Knowledge Management Team,2022-02-15,2024-03-01,100
